"Output","Treatment"
-1.86982710080654,"A"
-1.92794403974703,"A"
-1.84635329840594,"A"
-1.89871375230821,"A"
-1.96135162822968,"A"
-1.82955058009313,"A"
-1.61405974008515,"A"
-2.44422784889637,"A"
-2.37195726584938,"A"
-1.72602628149694,"A"
-1.88228607443809,"A"
-2.51685115925792,"A"
-2.14906897944726,"A"
-2.21876833037644,"A"
-2.18611009340003,"A"
-1.99445821110891,"A"
-2.47440751434314,"A"
-1.85628830561593,"A"
-1.56293138395855,"A"
-1.8513376850293,"A"
-1.64801953218582,"A"
-2.02126026161717,"A"
-1.9986982905272,"A"
-2.16640229217517,"A"
-1.71014109509587,"A"
-1.66887766363465,"A"
-2.69297009043248,"A"
-1.84962205870669,"A"
-2.23933578012796,"A"
-1.63893156443067,"A"
-2.17035682390497,"A"
-1.97340407029691,"A"
-2.02005741161212,"A"
-1.22012462795066,"A"
-1.85431776408101,"A"
-2.35153635315286,"A"
-1.52582084176699,"A"
-1.43269424997737,"A"
-1.99923535293343,"A"
-2.00015887776466,"A"
-2.24182047844988,"A"
-1.44430716209142,"A"
-2.46051084319877,"A"
-2.07960290078641,"A"
-1.81969837109862,"A"
-2.04394190903027,"A"
-2.08073935579996,"A"
-2.37518509799254,"A"
-1.94268914039866,"A"
-3.00861860195851,"A"
-2.13405002974075,"B"
-3.19454723883439,"B"
-2.56449653797014,"B"
-3.34317289001357,"B"
-2.06296058129617,"B"
-3.42324096117999,"B"
-2.19631052238359,"B"
-2.72615014357739,"B"
-1.84863953309089,"B"
-2.4332235197314,"B"
-2.65299803216254,"B"
-2.98311851083308,"B"
-2.77270705451048,"B"
-2.1173970203167,"B"
-2.85310544108396,"B"
-2.56628545213389,"B"
-2.38848211640986,"B"
-2.65188492976938,"B"
-2.36106043647635,"B"
-2.28890855275702,"B"
-2.23584602657385,"B"
-2.51055712254865,"B"
-2.47304653934383,"B"
-2.58033175490032,"B"
-2.12906318108592,"B"
-2.12490870062387,"B"
-2.75555336001737,"B"
-1.62910031650068,"B"
-1.91975306454721,"B"
-1.85376540537017,"B"
-2.69704834313427,"B"
-2.02493385133281,"B"
-2.45692073855614,"B"
-2.51421918794496,"B"
-1.53477106234021,"B"
-2.45917980377041,"B"
-3.44850494346104,"B"
-2.55284405391747,"B"
-2.2820002434546,"B"
-2.67103375382725,"B"
-2.34649921728895,"B"
-2.18116024477074,"B"
-2.41780333667707,"B"
-2.29472497425906,"B"
-2.23981608413566,"B"
-2.10813396084894,"B"
-1.88793934191108,"B"
-2.70971488169305,"B"
-2.28410152776667,"B"
-1.91493824181382,"B"
-1.17820058879164,"C"
-2.16508176538657,"C"
-1.48406022896957,"C"
-1.37388165092099,"C"
-1.96376345819823,"C"
-1.82478602799485,"C"
-1.4807040986114,"C"
-1.29058547480302,"C"
-1.42828406674592,"C"
-0.98263320640513,"C"
-1.27318455175526,"C"
-1.46565701813559,"C"
-1.3671311045121,"C"
-1.78882729061272,"C"
-1.75983205594893,"C"
-1.34268553694811,"C"
-1.2659861703043,"C"
-2.12707557231793,"C"
-1.99076554839791,"C"
-1.05949419526896,"C"
-1.71875547918385,"C"
-1.74692360591311,"C"
-0.94494627325007,"C"
-1.09917211829187,"C"
-2.06111998378125,"C"
-1.27408903128597,"C"
-1.28925029871766,"C"
-1.31710375562668,"C"
-1.73362000763338,"C"
-1.84166542716878,"C"
-2.04132827869293,"C"
-1.86787062466375,"C"
-0.908802430808496,"C"
-1.27633901209136,"C"
-1.54599763571724,"C"
-0.91196286589997,"C"
-1.1060836445464,"C"
-2.07215016889183,"C"
-0.877173000470305,"C"
-1.99159189697912,"C"
-1.84162115446292,"C"
-2.23451970183327,"C"
-1.42016585252588,"C"
-1.81242926105382,"C"
-1.30533514752324,"C"
-1.79852916864831,"C"
-2.05703518163561,"C"
-1.61494999293754,"C"
-1.08170479926199,"C"
-1.06321464960446,"C"
