"Output","Treatment"
-3.73834782884149,"A"
-1.10354063245634,"A"
-2.48846083971749,"A"
-1.89508049155595,"A"
-2.35390603268248,"A"
-1.55105283841474,"A"
-2.60805666195029,"A"
-2.13290592843462,"A"
-2.64580217439939,"A"
-2.40824760319152,"A"
-2.94938711014854,"A"
-2.38999652630661,"A"
-1.86674058467783,"A"
-1.13486779950688,"A"
-3.00031440869557,"A"
-3.10625239347333,"A"
-2.88998574297376,"A"
-2.78655348111246,"A"
-2.98365125482526,"A"
-1.77531990987294,"A"
-3.19354639625319,"A"
-1.81959800268356,"A"
-2.84749505646536,"A"
-1.45867942056138,"A"
-2.06163657757159,"A"
-3.60834580027423,"A"
-2.87272460222278,"A"
-2.08145405033371,"A"
-2.38420124742911,"A"
-3.34509983532788,"A"
-1.59572433449918,"A"
-2.5651931146781,"A"
-2.65931534098885,"A"
-2.13520481931415,"A"
-2.82328828055354,"A"
-2.56844888672206,"A"
-2.25273564902682,"A"
-2.29857265645511,"A"
-3.31066460762684,"A"
-1.80583722599889,"A"
-2.35968351486346,"A"
-2.34399277043752,"A"
-2.13024764020649,"A"
-1.78644248321136,"A"
-3.07588539435293,"A"
-2.85946598486278,"A"
-2.64932064872428,"A"
-3.30972840814014,"A"
-1.95158421457995,"A"
-3.13230573679993,"A"
-1.39887465052325,"B"
-0.943086779539634,"B"
-1.71213992811936,"B"
-0.908588536692811,"B"
-0.929256272479129,"B"
-0.730623250410487,"B"
-1.30962611434739,"B"
-0.618471921245785,"B"
-0.993921941217278,"B"
-1.33968286042843,"B"
-1.30129021245699,"B"
-1.25251390958943,"B"
-1.68881626040588,"B"
-1.6634955864861,"B"
-2.03959810931414,"B"
-1.67022249951711,"B"
-1.21545369004655,"B"
-0.897882900876319,"B"
-1.50767081642271,"B"
-1.54831930057978,"B"
-0.0859161827928303,"B"
-1.31702463416347,"B"
-2.02406005179449,"B"
-0.559509736349858,"B"
-0.771829243760789,"B"
-1.82831905289836,"B"
-1.53199805454624,"B"
-1.33935880342404,"B"
-1.58520296047271,"B"
-1.46039618536425,"B"
-2.259075104805,"B"
-1.97053207878003,"B"
-1.55988530778756,"B"
-0.815157116200902,"B"
-1.30410676990677,"B"
-1.54999112603939,"B"
-1.35057821939654,"B"
-1.24618715603944,"B"
-0.827846250302299,"B"
-1.61924954377463,"B"
-2.15267262963509,"B"
-1.01872928941998,"B"
-1.42748270916277,"B"
-1.80932337812012,"B"
-1.9364180923462,"B"
-2.23349109126907,"B"
-1.15932196021918,"B"
-0.536284683810263,"B"
-1.08324647799678,"B"
-2.58617659022033,"B"
-1.84697918136161,"C"
-1.80986883820742,"C"
-1.70154227307071,"C"
-1.57015159441103,"C"
-2.63608696450259,"C"
-2.3303847765765,"C"
-1.22431450126796,"C"
-2.00696785939497,"C"
-1.57370356240283,"C"
-2.2585986207007,"C"
-2.36375932910559,"C"
-1.00289185081736,"C"
-2.29018176623054,"C"
-2.97494455082124,"C"
-2.46083555625223,"C"
-1.84945458733276,"C"
-2.04838488405038,"C"
-2.23222176886307,"C"
-2.51965526554501,"C"
-2.04306510253987,"C"
-2.56650814541248,"C"
-1.98235273778954,"C"
-1.53654937271783,"C"
-1.02813237067185,"C"
-1.96739377407756,"C"
-1.99347047380996,"C"
-1.42045531565911,"C"
-2.85003638718859,"C"
-1.50870302791893,"C"
-1.85642551696972,"C"
-2.35670652782547,"C"
-1.93057014894203,"C"
-2.47388191672259,"C"
-1.37466084554403,"C"
-1.12513823893508,"C"
-1.38736483004066,"C"
-3.28263807325888,"C"
-2.40948092776961,"C"
-1.20935003913155,"C"
-2.37455369772292,"C"
-2.4448726121727,"C"
-1.88132615723216,"C"
-1.54058959733499,"C"
-3.13837614115501,"C"
-1.98658741612242,"C"
-2.86110872753152,"C"
-2.89664296427521,"C"
-1.96617219807214,"C"
-2.58261940073329,"C"
-1.66381747316556,"C"
