"Output","Treatment"
4.09037983371336,"A"
1.46844804012649,"A"
-2.31168988034984,"A"
1.32415628222994,"A"
4.88553145155982,"A"
1.96615798278158,"A"
-0.137117600069476,"A"
4.96089991048114,"A"
2.13856996042552,"A"
4.01880761471193,"A"
2.08514974518672,"A"
2.79358529587458,"A"
5.34487573534121,"A"
3.98380101245004,"A"
-0.925224177086569,"A"
1.1800159843969,"A"
-0.115670126345884,"A"
3.82745587880819,"A"
2.19229884055153,"A"
3.0122357437602,"A"
-1.71385602512461,"A"
1.43793150081076,"A"
2.29793601329601,"A"
3.1000205624855,"A"
1.21587679873328,"A"
-2.23388418748491,"A"
3.5163431881637,"A"
-0.822855641420175,"A"
3.60962870186464,"A"
-1.75840051497743,"A"
-0.545840295402167,"A"
3.59580779968052,"A"
2.0217142687897,"A"
-1.14738505976964,"A"
3.10305255832444,"A"
-1.89100643397444,"A"
1.71255437717494,"A"
2.44178898758978,"A"
4.44433446426212,"A"
1.05237221948478,"A"
2.26474417743642,"A"
0.279010980201365,"A"
3.5195837640615,"A"
-1.14922379794704,"A"
1.41247591117937,"A"
1.80565656249675,"A"
3.75629400004987,"A"
3.49527094706785,"A"
-2.26579274728227,"A"
-4.26306890075747,"A"
3.03271605975021,"B"
3.37077232859523,"B"
-1.4672096255676,"B"
-0.424447944743555,"B"
0.185058342185319,"B"
-1.62978300705858,"B"
-1.81050099105911,"B"
-2.47061338485353,"B"
-0.434435565211732,"B"
-5.39351212043562,"B"
-1.69724185467334,"B"
-6.36883698747227,"B"
0.759939976387466,"B"
-1.5873971538361,"B"
1.28903833916982,"B"
-2.06776993375756,"B"
-2.19019776358471,"B"
-5.95572143742032,"B"
-2.27286322165391,"B"
1.45556063983437,"B"
-1.66213091203649,"B"
3.09152300042186,"B"
0.413898146478704,"B"
2.98521702807977,"B"
-3.3921693378767,"B"
1.71261462904483,"B"
0.755766088136205,"B"
0.452276003745187,"B"
-1.30837114287636,"B"
-2.09122629776602,"B"
-0.712260707132257,"B"
-2.09051898254807,"B"
-1.12349564675469,"B"
-0.408448852138743,"B"
-0.488473005075938,"B"
1.67688028946889,"B"
1.86654389163052,"B"
-0.950338728044783,"B"
2.73386788288708,"B"
-3.03161105596891,"B"
0.0744984010853734,"B"
-1.15778648732382,"B"
3.43198915851871,"B"
-2.25706346538105,"B"
-0.542618970635028,"B"
-0.0624657480240794,"B"
0.503507711350374,"B"
2.56120741199235,"B"
-0.0794194218456384,"B"
-7.5646802185816,"B"
-3.42921479897013,"C"
-3.59416164427708,"C"
0.103140155548837,"C"
-3.96323313545946,"C"
-8.27583082598172,"C"
-1.60267926642336,"C"
-5.40491668430461,"C"
0.266623142403683,"C"
-2.27889760674657,"C"
-2.42128918062982,"C"
-2.43341697978364,"C"
-8.28711078627397,"C"
-2.40276352248975,"C"
-3.30951572490046,"C"
-3.45522303525805,"C"
-2.34420727412586,"C"
-2.46502042421027,"C"
-2.31691720055029,"C"
-0.69157405438575,"C"
-4.38936618537483,"C"
-6.8463633427715,"C"
-2.06593461413226,"C"
-5.80954584119812,"C"
-4.9544662757772,"C"
2.19829944113873,"C"
-3.80251980847813,"C"
-5.82254448451839,"C"
-1.02669419241968,"C"
-5.93446021735295,"C"
-5.55491135532484,"C"
-1.16400717245093,"C"
0.311806496196457,"C"
-7.9443402240483,"C"
-0.795103006544156,"C"
-2.53040912289875,"C"
-1.72783762034479,"C"
0.754787494034638,"C"
-6.52630092387661,"C"
-1.14220771558959,"C"
-2.42353071192591,"C"
-5.64363159536024,"C"
-3.89696425710834,"C"
-1.33005269536523,"C"
-5.37094309163992,"C"
-6.12003724612285,"C"
-3.07945078545746,"C"
-2.75114926875553,"C"
-4.81824091776372,"C"
-2.76429242494636,"C"
-0.990233754609764,"C"
