"Output","Treatment"
-0.0768288055633823,"A"
-0.87084520201666,"A"
-2.53248422225186,"A"
-1.00101583715663,"A"
-0.182155096171642,"A"
-1.70264381221656,"A"
0.121267317338086,"A"
-1.69899616707946,"A"
-0.821316795383548,"A"
-0.112097030452296,"A"
-0.508100533054511,"A"
-0.961278258988241,"A"
0.542084196842731,"A"
-0.626060942622162,"A"
-1.81927676855818,"A"
-0.799317900033124,"A"
0.412801469645029,"A"
-0.56777379439221,"A"
-1.16858617227425,"A"
-0.496605762957732,"A"
-1.72603432317378,"A"
2.07747998804758,"A"
-1.49118725489964,"A"
-0.179536115995797,"A"
-1.11871469650502,"A"
-3.86225813246844,"A"
0.356758431996878,"A"
-1.22033964487301,"A"
-1.25993102585575,"A"
-1.58868858575855,"A"
0.183190033432318,"A"
-0.458334090748361,"A"
-0.870931495540168,"A"
-1.89923859437212,"A"
-1.11159487908836,"A"
-0.766711110880436,"A"
-1.25360335487716,"A"
-2.41067857891646,"A"
-0.0960928126608445,"A"
1.49682044047307,"A"
-1.90915468348658,"A"
-0.498328889447447,"A"
-0.452648190283982,"A"
-0.809786159925388,"A"
0.936804435153684,"A"
-1.86972642815861,"A"
-2.51923385082426,"A"
0.889086769517718,"A"
-1.85305732827955,"A"
-1.06625102516819,"A"
-0.555572618958916,"B"
-0.551227307181469,"B"
0.406960371330536,"B"
-1.28493191460184,"B"
-0.491110255055607,"B"
-0.457030119562838,"B"
0.0929862048806461,"B"
0.0841199485320881,"B"
-0.29694110715485,"B"
-1.24097802444726,"B"
0.422556122868001,"B"
0.805860187445584,"B"
1.29842777301803,"B"
0.0712390995428138,"B"
-1.16482851979103,"B"
-0.854695997709347,"B"
-0.537278147675836,"B"
0.0854224200584856,"B"
0.36794668969017,"B"
-1.20000944104781,"B"
-1.48179393563086,"B"
0.326677959517421,"B"
0.814719206451571,"B"
-0.294355081538374,"B"
-0.73350423625825,"B"
-0.894898867283265,"B"
0.793428912463182,"B"
-0.0251283529674088,"B"
-0.446761849087039,"B"
-0.808979109936181,"B"
-0.827066977546645,"B"
0.773659503248075,"B"
-0.191645165060363,"B"
-0.74022129100478,"B"
-1.07098302107979,"B"
-0.610907836010465,"B"
0.34451641659446,"B"
-0.668319499888228,"B"
-0.109828945937981,"B"
-0.098738407934819,"B"
-0.193234122414215,"B"
0.180219661769819,"B"
0.930653471842592,"B"
-2.22460080533141,"B"
-0.8482759378259,"B"
1.2155597272848,"B"
-0.45618230760045,"B"
0.373374550647743,"B"
0.677215911276165,"B"
-2.90932998487164,"B"
-1.76923602993682,"C"
-2.42050843533907,"C"
-0.908033310422053,"C"
-2.30245631981773,"C"
-3.11776044328605,"C"
-1.60377234679635,"C"
-3.65665477380445,"C"
-1.26750234797469,"C"
-0.570945875456581,"C"
-4.00946725083282,"C"
-3.33192932775566,"C"
-1.14311648899339,"C"
-0.796724138363764,"C"
-1.8976335884721,"C"
-1.41285812942436,"C"
-1.76662459317803,"C"
-3.53313509987213,"C"
-2.29885038289326,"C"
-3.94280223529389,"C"
-1.77243081380526,"C"
0.379761724537929,"C"
-2.34279030754238,"C"
-2.11104733194128,"C"
-4.15991922582519,"C"
0.221548048273091,"C"
-3.36506089956456,"C"
-4.95145293785223,"C"
-3.76571489130401,"C"
0.0563855670859938,"C"
-2.45549408404778,"C"
1.37477701971739,"C"
-3.90274455791696,"C"
-2.87030923071094,"C"
-2.32065406588902,"C"
-2.52214433653242,"C"
-1.33619792884492,"C"
-3.26524135376498,"C"
-2.92109051082054,"C"
-0.721762151537387,"C"
-3.43299422199854,"C"
-1.353349052765,"C"
-2.08197658107076,"C"
-1.29987463046787,"C"
-4.72704720116672,"C"
-1.36490637034026,"C"
-1.65102446201867,"C"
-1.79859892558126,"C"
-4.66111696268053,"C"
-1.05596407295352,"C"
-2.47566501473921,"C"
